questions;answers
"Hola";"¡Hola! Soy un bot de UNGSNet, ¿En qué te puedo ayudar? Prueba escribiendo opciones"
"Facturacion Factura Resumen"; "Envianos tu mail (@gmail o @hotmail) y te mandaremos la factura alli"
"@gmail @hotmail"; "Te hemos enviado la factura a tu mail"
"¿Cómo reinicio mi router?";"Para reiniciar tu router, busca el botón de reinicio en el dispositivo. Puede ser necesario utilizar un objeto puntiagudo para presionarlo. Mantén presionado el botón durante unos 10 segundos y luego suéltalo. El router debería reiniciarse automáticamente."
"No puedo conectarme a la red";"Aquí hay algunas cosas que puedes probar: 1. Asegúrate de que tu dispositivo esté dentro del rango de la red. 2. Comprueba si otros dispositivos pueden conectarse a la red. 3. Reinicia tu dispositivo y tu router. 4. Si el problema persiste, escribe asistente y te contactaremos con un representante"
"¿Cómo cambio mi contraseña de wifi?";"Para cambiar tu contraseña de Wi-Fi, necesitarás acceder a la configuración de tu router. La dirección IP para acceder a la configuración del router suele estar impresa en el router mismo. Una vez que hayas accedido a la configuración del router, busca la sección de seguridad o de Wi-Fi para cambiar la contraseña."
"Otras consultas Otra consulta"; "Escribe asistente y te contactaremos con uno de nuestros representantes a la brevedad"
"funciona mal el wifi";"Necesitamos que reinicies tu router y en 10 segundos vuelvas a contactarte para ver si mejoro, si el problema persiste es necesario contactarte con un representante, prueba escribiendo asistente"
"asistente"; "Te contamos que en este momento nuestro tiempo de respuesta es mayor al habitual. Te agradecemos contactarte en otro momento."
"Gracias Chau"; "Nos alegra ayudarte. Muchas gracias por usar el bot de UNGSNet"
"Opciones"; "Prueba con consultarme sobre como reiniciar el router, conectarte a tu red, cambiar la contraseña de wifi, el wifi no funciona. También puedes ver tu facturacion o ponerte en contacto con un asistente a través de otras consultas"
